"lower","actualEffect","upper","posterior_prob","article_names","significance","positive"
339.37098441134,1691,822.783566465511,0.00252525252525253,"humpbackwhale",1,1
-1120.77368871489,4824,4136.98578806704,0.146005509641873,"killerwhale",0,1
-19607.3917623927,3382.5,24003.3251246666,0.436289500509684,"walrus",0,1
-687.753042136806,3717,1956.37772850675,0.1675,"polarbear",0,1
118.645704870024,795.5,401.303317135137,0.00263852242744063,"bottlenosedolphin",1,1
4465.72511648255,8128.5,11100.8621908308,0.00112866817155756,"gianttrevally",1,1
-13.9800711757082,128.5,57.9349004989627,0.134204275534442,"devilfish",0,1
-139.969920573229,850.5,209.146338746516,0.330917874396135,"phytoplankton",0,1
842.285562860646,5265.5,9428.05323847485,0.013,"falsekillerwhale",1,1
-658.442811748888,967.5,636.468810294304,0.481218274111675,"seaotter",0,1
-17.900602456446,135.5,32.1115641622035,0.291062801932367,"macrocystispyrifera",0,1
-441.151526601298,1378,157.620272420446,0.161725067385445,"seaurchin",0,1
-902.398287544974,1067.5,788.115831642059,0.417945690672963,"seacucumber",0,1
2131.41120785231,2362,2474.21525283893,0.0104166666666667,"asiansheepsheadwrasse",1,1
45.3050830671637,967,377.876932687489,0.00517063081695967,"herring",1,1
259.990474970803,3215,1354.51961020056,0.00125156445556946,"jellyfish",1,1
-825.840309780346,1168.5,891.160881464915,0.459905660377358,"seacucumber",0,1
-915.907500890174,509,1244.17664853168,0.385798816568047,"pyrosome",0,1
-549.46280258329,461.5,584.409847724588,0.494103773584906,"oceanicwhitetipshark",0,1
52.4420835382812,1027.5,295.251240398466,0.00769230769230769,"swordfish",1,1
221.8375130932,264.5,274.031205581198,0.00118483412322275,"histioteuthis",1,1
1715.83549880573,1995.5,1936.36970983136,0.00137931034482759,"barreleye",1,1
1709.59160393447,1995.5,1949.52618946548,0.00137931034482759,"barreleye",1,1
10.2599612757832,220.5,115.782728959852,0.0112640801001252,"lanternfish",1,1
273.814195565977,446,422.884073015068,0.00118906064209275,"fangtooth",1,1
461.432653963489,1563.5,1720.43861311509,0.00200400801603206,"siphonophorae",1,1
268.170730087845,286.5,287.380708585507,0.00117924528301887,"seatoad",1,1
421.949956964702,534.5,517.017849302652,0.00102774922918808,"opisthoteuthiscaliforniana",1,1
8425.73632246065,9062.5,9260.34425331406,0.00101522842639594,"bluntnosesixgillshark",1,1
-35.6164766049717,38.5,38.9971254106193,0.467611336032389,"majoidea",0,1
285.731257076743,385.5,321.706087131557,0.00103092783505155,"blackscabbardfish",1,1
-1290.13889758667,309.5,1878.8163923526,0.326824254881809,"osedax",0,1
223.551673544271,242.5,239.901106415011,0.00118764845605701,"cutthroateel",1,1
4.40485830931391,34.5,27.3082324314024,0.00708382526564345,"seapig",1,1
-438.034850709976,1614.5,280.795620719306,0.403508771929825,"starfish",0,1
610.576316511085,863,845.78927340427,0.00104058272632674,"snailfish",1,1
-189.414867100021,1434,364.250952023326,0.293838862559242,"shrimp",0,1
-42.7894450329934,706.5,225.877632536145,0.0913705583756345,"bottlenosedolphin",0,1
1016.68381166761,3083,2070.93884746943,0.00118063754427391,"cuttlefish",1,1
-493.533690273903,3337,839.242700399482,0.334120425029516,"octopus",0,1
52.5386670138001,542.5,188.665293123811,0.00154559505409583,"parrotfish",1,1
34.3069271961712,872,298.425853248624,0.00886917960088692,"greenseaturtle",1,1
39.8740874124287,162.5,98.0451473358135,0.00120772946859903,"acanthuridae",1,1
747.286708897103,2023.5,1303.89785342414,0.00139470013947001,"mantaray",1,1
-325.591570594151,1091,620.11693828947,0.247030878859857,"pterois",0,1
17334.6529992338,18528.5,18657.2084451634,0.00120772946859903,"euniceaphroditois",1,1
-27.5913994189672,172,31.2061373815414,0.427385892116183,"bream",0,1
55.057886258663,69.5,66.6178880202913,0.00105820105820106,"saddlebackclownfish",1,1
1.62086819319066,15.5,13.7768822277627,0.0113871635610766,"stichodactylidae",1,1
-268.188513445512,1040,470.233645611373,0.341,"hermitcrab",0,1
